Date,SST
2017-06-11,14.78
2017-06-11,13.89
2017-06-11,13.61
2017-06-11,13.61
2017-06-11,13.72
2017-06-11,13.78
2017-06-12,13.89
2017-06-12,14.61
2017-06-12,15
2017-06-12,15
2017-06-12,15
2017-06-12,14.89
2017-06-12,14.72
2017-06-12,14.28
2017-06-12,14.11
2017-06-12,14
2017-06-12,13.89
2017-06-12,13.89
2017-06-12,14.22
2017-06-12,14.11
2017-06-12,14.22
2017-06-12,14.39
2017-06-12,14.61
2017-06-12,15.28
2017-06-12,15.5
2017-06-12,15
2017-06-12,13.61
2017-06-12,13.28
2017-06-12,13.22
2017-06-12,13.11
2017-06-13,13.22
2017-06-13,13.22
2017-06-13,13.39
2017-06-13,13.78
2017-06-13,13.89
2017-06-13,14.22
2017-06-13,14.5
2017-06-13,14
2017-06-13,13.39
2017-06-13,12.78
2017-06-13,12.78
2017-06-13,12.89
2017-06-13,13
2017-06-13,13.61
2017-06-13,13.28
2017-06-13,13.61
2017-06-13,13.78
2017-06-13,15
2017-06-13,15.28
2017-06-13,15.39
2017-06-13,14.11
2017-06-13,12.78
2017-06-13,12.72
2017-06-13,12.72
2017-06-14,12.72
2017-06-14,12.72
2017-06-14,12.89
2017-06-14,13.22
2017-06-14,13.39
2017-06-14,13.61
2017-06-14,14.39
2017-06-14,14.5
2017-06-14,13.78
2017-06-14,13
2017-06-14,12.89
2017-06-14,12.89
2017-06-14,13.11
2017-06-14,13.22
2017-06-14,13.39
2017-06-14,13.39
2017-06-14,13.61
2017-06-14,14
2017-06-14,14.61
2017-06-14,15.11
2017-06-14,14.5
2017-06-14,13.39
2017-06-14,13
2017-06-14,13.11
2017-06-15,13.11
2017-06-15,13.22
2017-06-15,13.22
2017-06-15,13.39
2017-06-15,14.11
2017-06-15,13.78
2017-06-15,14
2017-06-15,14.61
2017-06-15,14.5
2017-06-15,14
2017-06-15,13.72
2017-06-15,13.72
2017-06-15,13.72
2017-06-15,13.78
2017-06-15,14
2017-06-15,14.28
2017-06-15,14.11
2017-06-15,14.22
2017-06-15,14.5
2017-06-15,15
2017-06-15,15.11
2017-06-15,14.28
2017-06-15,14.28
2017-06-15,14.28
2017-06-16,14.28
2017-06-16,14.28
2017-06-16,14.28
2017-06-16,14.39
2017-06-16,14.39
2017-06-16,14.39
2017-06-16,14.5
2017-06-16,14.5
2017-06-16,14.5
2017-06-16,14.5
2017-06-16,14.39
2017-06-16,14.39
2017-06-16,14.28
2017-06-16,14.28
2017-06-16,14.28
2017-06-16,14.28
2017-06-16,14.39
2017-06-16,14.39
2017-06-16,14.39
2017-06-16,14.61
2017-06-16,14.89
2017-06-16,14.89
2017-06-16,14.61
2017-06-16,14.28
2017-06-17,14.22
2017-06-17,14.22
2017-06-17,14.22
2017-06-17,14.22
2017-06-17,14.22
2017-06-17,14.28
2017-06-17,14.39
2017-06-17,14.5
2017-06-17,14.5
2017-06-17,14.61
2017-06-17,14.72
2017-06-17,14.61
2017-06-17,14.5
2017-06-17,14.22
2017-06-17,14.22
2017-06-17,14.28
2017-06-17,14.39
2017-06-17,14.61
2017-06-17,14.61
2017-06-17,14.78
2017-06-17,15
2017-06-17,15.61
2017-06-17,15.39
2017-06-17,14.72
2017-06-18,14
2017-06-18,14
2017-06-18,14.11
2017-06-18,14.11
2017-06-18,14.11
2017-06-18,14.22
2017-06-18,15
2017-06-18,15.22
2017-06-18,14.89
2017-06-18,15
2017-06-18,15.11
2017-06-18,15.39
2017-06-18,15.28
2017-06-18,14.78
2017-06-18,14.61
2017-06-18,14.61
2017-06-18,14.72
2017-06-18,14.78
2017-06-18,14.89
2017-06-18,15.11
2017-06-18,15.39
2017-06-18,16
2017-06-18,16.39
2017-06-18,15.61
2017-06-19,15.22
2017-06-19,14.89
2017-06-19,14.89
2017-06-19,14.89
2017-06-19,14.89
2017-06-19,14.89
2017-06-19,14.89
2017-06-19,16.22
2017-06-19,15.72
2017-06-19,16
2017-06-19,16.22
2017-06-19,16.39
2017-06-19,16.39
2017-06-19,16.22
2017-06-19,15.28
2017-06-19,14.11
2017-06-19,13.89
2017-06-19,14
2017-06-19,14.28
2017-06-19,14.39
2017-06-19,14.89
2017-06-19,15.5
2017-06-19,16.61
2017-06-19,16.78
2017-06-20,15.89
2017-06-20,14.89
2017-06-20,14
2017-06-20,13.72
2017-06-20,13.61
2017-06-20,13.61
2017-06-20,13.72
2017-06-20,14.72
2017-06-20,14.39
2017-06-20,14.72
2017-06-20,15
2017-06-20,15.28
2017-06-20,16.11
2017-06-20,16.5
2017-06-20,15.61
2017-06-20,14.22
2017-06-20,13.28
2017-06-20,13.39
2017-06-20,13.5
2017-06-20,13.61
2017-06-20,13.89
2017-06-20,14.5
2017-06-20,15
2017-06-20,15.61
2017-06-21,16.72
2017-06-21,15.39
2017-06-21,14.5
2017-06-21,13.39
2017-06-21,13
2017-06-21,12.89
2017-06-21,13
2017-06-21,13.22
2017-06-21,14.22
2017-06-21,14
2017-06-21,14.22
2017-06-21,14.39
2017-06-21,14.78
2017-06-21,16.11
2017-06-21,16.39
2017-06-21,15.11
2017-06-21,11.39
2017-06-21,10.39
2017-06-21,10.22
2017-06-21,10.39
2017-06-21,10.78
2017-06-21,12.61
2017-06-21,12.61
2017-06-21,13
2017-06-22,14.89
2017-06-22,15.72
2017-06-22,14
2017-06-22,11.61
2017-06-22,10.78
2017-06-22,10.5
2017-06-22,10.5
2017-06-22,10.5
2017-06-22,11.39
2017-06-22,11.39
2017-06-22,11.78
2017-06-22,12.11
2017-06-22,12.61
2017-06-22,13.28
2017-06-22,15.28
2017-06-22,16.22
2017-06-22,13.22
2017-06-22,10.11
2017-06-22,9.78
2017-06-22,9.61
2017-06-22,9.78
2017-06-22,10.22
2017-06-22,10.22
2017-06-22,12.22
2017-06-23,12.11
2017-06-23,12.89
2017-06-23,14.5
2017-06-23,12.72
2017-06-23,10.78
2017-06-23,10.22
2017-06-23,10
2017-06-23,9.89
2017-06-23,9.89
2017-06-23,11.28
2017-06-23,10.89
2017-06-23,11.11
2017-06-23,11.39
2017-06-23,12
2017-06-23,12.72
2017-06-23,15.78
2017-06-23,15.78
2017-06-23,11.28
2017-06-23,9.5
2017-06-23,9.22
2017-06-23,9.11
2017-06-23,9.28
2017-06-23,10
2017-06-23,11.5
2017-06-24,12.5
2017-06-24,12
2017-06-24,12.39
2017-06-24,12.78
2017-06-24,11.5
2017-06-24,10.22
2017-06-24,9.72
2017-06-24,9.5
2017-06-24,9.5
2017-06-24,9.5
2017-06-24,10.78
2017-06-24,10.39
2017-06-24,10.5
2017-06-24,10.89
2017-06-24,11.39
2017-06-24,12.89
2017-06-24,15.39
2017-06-24,13.5
2017-06-24,10.11
2017-06-24,9.61
2017-06-24,9.61
2017-06-24,9.72
2017-06-24,9.72
2017-06-24,10.28
2017-06-25,12.61
2017-06-25,12.72
2017-06-25,12.5
2017-06-25,12.89
2017-06-25,12.28
2017-06-25,11.5
2017-06-25,10.22
2017-06-25,10
2017-06-25,9.89
2017-06-25,9.89
2017-06-25,10.28
2017-06-25,11
2017-06-25,10.61
2017-06-25,10.72
2017-06-25,11.28
2017-06-25,11.78
2017-06-25,14.61
2017-06-25,14.78
2017-06-25,12.89
2017-06-25,10.61
2017-06-25,10.5
2017-06-25,10.5
2017-06-25,10.5
2017-06-25,10.5
2017-06-26,11.28
2017-06-26,12.61
2017-06-26,12.5
2017-06-26,12
2017-06-26,12.39
2017-06-26,12
2017-06-26,11.78
2017-06-26,11.61
2017-06-26,11.22
2017-06-26,11.22
2017-06-26,11.22
2017-06-26,11.72
2017-06-26,11.61
2017-06-26,11.5
2017-06-26,11.61
2017-06-26,11.78
2017-06-26,12.22
2017-06-26,14.39
2017-06-26,14.72
2017-06-26,13
2017-06-26,11.22
2017-06-26,11
2017-06-26,11
2017-06-26,11
2017-06-27,11.11
2017-06-27,12
2017-06-27,12.78
2017-06-27,12.39
2017-06-27,12.28
2017-06-27,12.61
2017-06-27,12.28
2017-06-27,12.11
2017-06-27,11.89
2017-06-27,11.89
2017-06-27,11.89
2017-06-27,12
2017-06-27,12.22
2017-06-27,12.39
2017-06-27,12.22
2017-06-27,12.22
2017-06-27,12.28
2017-06-27,13.11
2017-06-27,14.5
2017-06-27,14
2017-06-27,13.11
2017-06-27,12.39
2017-06-27,12.28
2017-06-27,12.28
2017-06-28,12.28
2017-06-28,12.61
2017-06-28,13.61
2017-06-28,13.89
2017-06-28,13.28
2017-06-28,13.39
2017-06-28,13.61
2017-06-28,13.5
2017-06-28,13.22
2017-06-28,12.22
2017-06-28,11.78
2017-06-28,11.72
2017-06-28,11.78
2017-06-28,12.39
2017-06-28,12.5
2017-06-28,12.39
2017-06-28,12.61
2017-06-28,13.39
2017-06-28,14.72
2017-06-28,15.11
2017-06-28,14.78
2017-06-28,13.22
2017-06-28,11.78
2017-06-28,11.72
2017-06-29,11.72
2017-06-29,11.72
2017-06-29,11.89
2017-06-29,13.28
2017-06-29,13.22
2017-06-29,13
2017-06-29,13.22
2017-06-29,13.28
2017-06-29,13.5
2017-06-29,13
2017-06-29,12.11
2017-06-29,11.28
2017-06-29,11.28
2017-06-29,11.28
2017-06-29,11.72
2017-06-29,11.89
2017-06-29,12.11
2017-06-29,12.5
2017-06-29,14.39
2017-06-29,15.11
2017-06-29,15.39
2017-06-29,14
2017-06-29,12.5
2017-06-29,11.28
2017-06-30,11.11
2017-06-30,10.89
2017-06-30,11
2017-06-30,11
2017-06-30,12.11
2017-06-30,13
2017-06-30,12.61
2017-06-30,13
2017-06-30,13.39
2017-06-30,13.89
2017-06-30,13.5
2017-06-30,12.22
2017-06-30,10.72
2017-06-30,10.5
2017-06-30,10.72
2017-06-30,11
2017-06-30,12.11
2017-06-30,11.78
2017-06-30,12.28
2017-06-30,13.11
2017-06-30,14.11
2017-06-30,14.72
2017-06-30,13
2017-06-30,10.61
2017-07-01,9.78
2017-07-01,9.5
2017-07-01,9.5
2017-07-01,9.5
2017-07-01,9.61
2017-07-01,10.78
2017-07-01,11.5
2017-07-01,11.28
2017-07-01,11.72
2017-07-01,12.11
2017-07-01,13.22
2017-07-01,12.89
2017-07-01,11.61
2017-07-01,10.28
2017-07-01,9.78
2017-07-01,10.22
2017-07-01,10.5
2017-07-01,10.72
2017-07-01,11.22
2017-07-01,11.72
2017-07-01,12.28
2017-07-01,13.22
2017-07-01,13.22
2017-07-01,11.61
2017-07-02,10.22
2017-07-02,10.11
2017-07-02,10.11
2017-07-02,10
2017-07-02,10
2017-07-02,10
2017-07-02,11.11
2017-07-02,12.22
2017-07-02,11.72
2017-07-02,12.22
2017-07-02,12.61
2017-07-02,13.11
2017-07-02,13.11
2017-07-02,12.28
2017-07-02,10.78
2017-07-02,10.22
2017-07-02,10.22
2017-07-02,10.5
2017-07-02,10.72
2017-07-02,10.89
2017-07-02,12.78
2017-07-02,13.39
2017-07-02,12.11
2017-07-02,12.22
2017-07-03,11.11
2017-07-03,10.22
2017-07-03,9.89
2017-07-03,9.78
2017-07-03,9.72
2017-07-03,9.72
2017-07-03,9.89
2017-07-03,12.28
2017-07-03,13.28
2017-07-03,12.5
2017-07-03,13.11
2017-07-03,13.89
2017-07-03,14.22
2017-07-03,14.22
2017-07-03,12.61
2017-07-03,10.39
2017-07-03,9.39
2017-07-03,9.22
2017-07-03,9.5
2017-07-03,10
2017-07-03,10.28
2017-07-03,12.39
2017-07-03,13.78
2017-07-03,13.72
2017-07-04,12.11
2017-07-04,10.72
2017-07-04,10
2017-07-04,9.78
2017-07-04,9.72
2017-07-04,9.72
2017-07-04,9.61
2017-07-04,9.72
2017-07-04,11.78
2017-07-04,11.22
2017-07-04,12.39
2017-07-04,13
2017-07-04,13.89
2017-07-04,14.28
2017-07-04,14.22
2017-07-04,11.78
2017-07-04,9.78
2017-07-04,9.11
2017-07-04,9
2017-07-04,9.5
2017-07-04,9.72
2017-07-04,10.39
2017-07-04,11.39
2017-07-04,12.39
2017-07-05,12.72
2017-07-05,11.72
2017-07-05,10.11
2017-07-05,9.61
2017-07-05,9.5
2017-07-05,9.28
2017-07-05,9.28
2017-07-05,9.28
2017-07-05,10.78
2017-07-05,11.11
2017-07-05,11
2017-07-05,11.72
2017-07-05,12.78
2017-07-05,13.28
2017-07-05,14.39
2017-07-05,14
2017-07-05,11.78
2017-07-05,9
2017-07-05,8.61
2017-07-05,8.5
2017-07-05,8.72
2017-07-05,9
2017-07-05,9.5
2017-07-05,9.78
2017-07-06,10.78
2017-07-06,12.5
2017-07-06,12.5
2017-07-06,10.28
2017-07-06,9.61
2017-07-06,9.39
2017-07-06,9.39
2017-07-06,9.39
2017-07-06,9.5
2017-07-06,10.78
2017-07-06,10.5
2017-07-06,10.78
2017-07-06,11.5
2017-07-06,13.61
2017-07-06,14
2017-07-06,14.11
2017-07-06,12.39
2017-07-06,10.39
2017-07-06,9.78
2017-07-06,9.5
2017-07-06,9.61
2017-07-06,9.72
2017-07-06,10
2017-07-06,10.39
2017-07-07,11.61
2017-07-07,12
2017-07-07,12.11
2017-07-07,11.78
2017-07-07,10.39
2017-07-07,10.11
2017-07-07,10
2017-07-07,10
2017-07-07,10
2017-07-07,10.89
2017-07-07,11
2017-07-07,11
2017-07-07,11.61
2017-07-07,13.5
2017-07-07,14
2017-07-07,14.39
2017-07-07,14
2017-07-07,12.28
2017-07-07,10
2017-07-07,9.78
2017-07-07,9.72
2017-07-07,9.78
2017-07-07,9.78
2017-07-07,10.39
2017-07-08,10.89
2017-07-08,11.72
2017-07-08,12.22
2017-07-08,12.39
2017-07-08,11
2017-07-08,10.28
2017-07-08,9.89
2017-07-08,9.89
2017-07-08,9.89
2017-07-08,10
2017-07-08,11
2017-07-08,10.72
2017-07-08,11.11
2017-07-08,12
2017-07-08,12.72
2017-07-08,14.22
2017-07-08,14.5
2017-07-08,13.11
2017-07-08,10.11
2017-07-08,9.61
2017-07-08,9.39
2017-07-08,9.39
2017-07-08,9.72
2017-07-08,10.5
2017-07-09,10.72
2017-07-09,11.89
2017-07-09,12.39
2017-07-09,12.5
2017-07-09,12.28
2017-07-09,10.89
