alkalinity,tco2,pco2,co2,pHt,salinity,temp,year
1980.19,1857.49,392.57,18,8.007,28.928,9.7345,2017
2080.4,1944.86,408.56,18.29,8.007,30.335,10.199,2017
2085.71,1949.95,411.71,18.4,8.005,30.497,10.22,2017
2090.76,1954.83,414.19,18.5,8.003,30.639,10.213,2017
2094.08,1959.18,418.59,18.7,8,30.654,10.215,2017
2081.15,1950.06,424.55,18.99,7.992,30.553,10.196,2017
2077.82,1951.55,436.64,19.57,7.981,30.429,10.154,2017
2067.69,1943.47,438.58,19.68,7.977,30.354,10.125,2017
2068.22,1947.45,447.34,20.14,7.97,30.1915,10.064,2017
2019.94,1902.25,430.58,19.59,7.977,29.604,9.839,2017
2055.56,1927.84,417.92,18.88,7.994,30.113,9.971,2017
2063.75,1934.04,416.56,18.77,7.997,30.2,10.038,2017
2070.55,1937.9,414.08,18.53,8,30.323,10.211,2017
2074.68,1941.04,414.49,18.51,8,30.436,10.26,2017
2078.8,1945.46,416.68,18.61,7.999,30.429,10.258,2017
2069.57,1938.56,418.82,18.76,7.995,30.381,10.179,2017
2061.51,1933.95,421.07,18.99,7.992,30.103,10.016,2017
1943.69,1836.11,419.63,19.39,7.975,28.115,9.639,2017
1777.47,1692.65,418.3,19.71,7.948,25.756,9.464,2017
1814.9,1722.75,413.34,19.22,7.96,26.2275,9.767,2017
1815.73,1716.99,389.82,18.1,7.983,26.1205,9.837,2017
1786.08,1683.58,367.2,16.97,8.002,25.7805,10.043,2017
1786.11,1673.85,337.58,15.57,8.035,25.744,10.101,2017
1763,1651.33,331.71,15.27,8.037,25.5485,10.193,2017
1816,1706.32,352.3,16.41,8.023,26.038,9.76,2017
1987.7,1861.4,388.87,17.59,8.013,28.678,10.178,2017
2040.59,1911.11,410.84,18.35,7.999,29.772,10.367,2017
2055.87,1924.32,413.87,18.43,7.998,30.12,10.407,2017
2074.42,1940.72,416.94,18.51,7.998,30.381,10.45,2017
2069.66,1937.71,419.48,18.64,7.995,30.296,10.429,2017
2058.9,1935,435.24,19.45,7.98,29.877,10.335,2017
