Date,SST
6/1/17,10
6/1/17,11
6/1/17,11
6/1/17,11
6/1/17,11
6/1/17,10
6/1/17,10
6/1/17,10
6/1/17,10
6/1/17,10
6/1/17,10
6/1/17,10
6/1/17,10
6/1/17,10
6/1/17,10
6/1/17,10
6/1/17,10
6/1/17,11
6/1/17,11
6/1/17,11
6/1/17,10
6/1/17,10
6/1/17,10
6/1/17,10
6/2/17,10
6/2/17,10
6/2/17,11
6/2/17,10
6/2/17,11
6/2/17,11
6/2/17,11
6/2/17,11
6/2/17,11
6/2/17,11
6/2/17,10
6/2/17,10
6/2/17,10
6/2/17,10
6/2/17,10
6/2/17,10
6/2/17,11
6/2/17,11
6/2/17,11
6/2/17,10
6/2/17,11
6/2/17,11
6/2/17,11
6/2/17,10
6/3/17,11
6/3/17,11
6/3/17,11
6/3/17,10
6/3/17,11
6/3/17,11
6/3/17,11
6/3/17,11
6/3/17,11
6/3/17,11
6/3/17,11
6/3/17,10
6/3/17,11
6/3/17,11
6/3/17,11
6/3/17,10
6/3/17,10
6/3/17,10
6/3/17,11
6/3/17,11
6/3/17,11
6/3/17,11
6/3/17,11
6/3/17,11
6/4/17,11
6/4/17,11
6/4/17,11
6/4/17,11
6/4/17,11
6/4/17,10
6/4/17,10
6/4/17,11
6/4/17,10
6/4/17,11
6/4/17,10
6/4/17,10
6/4/17,10
6/4/17,10
6/4/17,11
6/4/17,10
6/4/17,10
6/4/17,11
6/4/17,11
6/4/17,11
6/4/17,11
6/4/17,11
6/4/17,11
6/4/17,10
6/5/17,10
6/5/17,10
6/5/17,11
6/5/17,11
6/5/17,11
6/5/17,11
6/5/17,11
6/5/17,11
6/5/17,11
6/5/17,11
6/5/17,11
6/5/17,11
6/5/17,11
6/5/17,11
6/5/17,11
6/5/17,11
6/5/17,11
6/5/17,11
6/5/17,11
6/5/17,11
6/5/17,11
6/5/17,11
6/5/17,11
6/5/17,11
6/6/17,10
6/6/17,10
6/6/17,11
6/6/17,11
6/6/17,11
6/6/17,11
6/6/17,11
6/6/17,11
6/6/17,11
6/6/17,11
6/6/17,11
6/6/17,11
6/6/17,11
6/6/17,11
6/6/17,11
6/6/17,11
6/6/17,11
6/6/17,11
6/6/17,11
6/6/17,11
6/6/17,12
6/6/17,12
6/6/17,11
6/6/17,11
6/7/17,11
6/7/17,11
6/7/17,11
6/7/17,11
6/7/17,11
6/7/17,11
6/7/17,11
6/7/17,11
6/7/17,11
6/7/17,11
6/7/17,11
6/7/17,11
6/7/17,11
6/7/17,11
6/7/17,11
6/7/17,11
6/7/17,11
6/7/17,11
6/7/17,12
6/7/17,12
6/7/17,12
6/7/17,12
6/7/17,12
6/7/17,11
6/8/17,11
6/8/17,11
6/8/17,11
6/8/17,10
6/8/17,11
6/8/17,11
6/8/17,11
6/8/17,11
6/8/17,11
6/8/17,11
6/8/17,11
6/8/17,11
6/8/17,11
6/8/17,11
6/8/17,12
6/8/17,12
6/8/17,12
6/8/17,12
6/8/17,12
6/8/17,12
6/8/17,12
6/8/17,11
6/8/17,12
6/8/17,12
6/9/17,11
6/9/17,11
6/9/17,10
6/9/17,10
6/9/17,10
6/9/17,10
6/9/17,11
6/9/17,10
6/9/17,10
6/9/17,10
6/9/17,10
6/9/17,10
6/9/17,10
6/9/17,10
6/9/17,10
6/9/17,10
6/9/17,10
6/9/17,11
6/9/17,11
6/9/17,11
6/9/17,11
6/9/17,12
6/9/17,12
6/9/17,12
6/10/17,11
6/10/17,11
6/10/17,10
6/10/17,10
6/10/17,10
6/10/17,10
6/10/17,10
6/10/17,10
6/10/17,10
6/10/17,10
6/10/17,10
6/10/17,10
6/10/17,11
6/10/17,11
6/10/17,11
6/10/17,11
6/10/17,11
6/10/17,11
6/10/17,11
6/10/17,11
6/10/17,11
6/10/17,11
6/10/17,12
6/10/17,12
6/11/17,11
6/11/17,10
6/11/17,10
6/11/17,10
6/11/17,10
6/11/17,10
6/11/17,11
6/11/17,11
6/11/17,11
6/11/17,11
6/11/17,11
6/11/17,11
6/11/17,10
6/11/17,11
6/11/17,11
6/11/17,11
6/11/17,11
6/11/17,11
6/11/17,11
6/11/17,12
6/11/17,12
6/11/17,12
6/11/17,12
6/11/17,11
6/12/17,11
6/12/17,11
6/12/17,11
6/12/17,10
6/12/17,10
6/12/17,10
6/12/17,11
6/12/17,11
6/12/17,11
6/12/17,11
6/12/17,11
6/12/17,11
6/12/17,11
6/12/17,11
6/12/17,11
6/12/17,11
6/12/17,11
6/12/17,11
6/12/17,11
6/12/17,11
6/12/17,11
6/12/17,12
6/12/17,12
6/12/17,12
6/13/17,11
6/13/17,11
6/13/17,11
6/13/17,11
6/13/17,10
6/13/17,10
6/13/17,10
6/13/17,10
6/13/17,10
6/13/17,10
6/13/17,10
6/13/17,10
6/13/17,10
6/13/17,10
6/13/17,10
6/13/17,11
6/13/17,11
6/13/17,11
6/13/17,11
6/13/17,11
6/13/17,11
6/13/17,11
6/13/17,11
6/13/17,11
6/14/17,11
6/14/17,11
6/14/17,11
6/14/17,11
6/14/17,11
6/14/17,10
6/14/17,10
6/14/17,11
6/14/17,10
6/14/17,10
6/14/17,11
6/14/17,10
6/14/17,10
6/14/17,10
6/14/17,10
6/14/17,11
6/14/17,11
6/14/17,11
6/14/17,11
6/14/17,11
6/14/17,11
6/14/17,11
6/14/17,11
6/14/17,12
6/15/17,12
6/15/17,12
6/15/17,12
6/15/17,12
6/15/17,11
6/15/17,11
6/15/17,11
6/15/17,11
6/15/17,11
6/15/17,11
6/15/17,11
6/15/17,11
6/15/17,11
6/15/17,11
6/15/17,11
6/15/17,11
6/15/17,11
6/15/17,11
6/15/17,11
6/15/17,11
6/15/17,11
6/15/17,11
6/15/17,11
6/15/17,11
6/16/17,11
6/16/17,11
6/16/17,12
6/16/17,11
6/16/17,11
6/16/17,11
6/16/17,14
6/16/17,17
6/16/17,16
6/16/17,16
6/16/17,15
6/16/17,15
6/16/17,15
6/16/17,10
6/16/17,10
6/16/17,11
6/16/17,11
6/16/17,11
6/16/17,11
6/16/17,11
6/16/17,11
6/16/17,11
6/16/17,11
6/16/17,11
6/17/17,11
6/17/17,11
6/17/17,11
6/17/17,11
6/17/17,11
6/17/17,11
6/17/17,11
6/17/17,11
6/17/17,11
6/17/17,11
6/17/17,11
6/17/17,11
6/17/17,11
6/17/17,11
6/17/17,11
6/17/17,10
6/17/17,11
6/17/17,11
6/17/17,11
6/17/17,11
6/17/17,11
6/17/17,11
6/17/17,11
6/17/17,11
6/18/17,11
6/18/17,11
6/18/17,11
6/18/17,11
6/18/17,11
6/18/17,11
6/18/17,11
6/18/17,11
6/18/17,11
6/18/17,11
6/18/17,11
6/18/17,11
