time,chlorophyll
20170604T23:15:00Z,6.9
20170604T23:30:00Z,7.4
20170604T23:45:00Z,6.8
20170605T00:00:00Z,7.6
20170605T00:15:00Z,8.3
20170605T00:30:00Z,9.2
20170605T00:45:00Z,6.7
20170605T01:00:00Z,7.5
20170605T01:15:00Z,9
20170605T01:30:00Z,8.4
20170605T01:45:00Z,8
20170605T02:00:00Z,7.8
20170605T02:15:00Z,9.3
20170605T02:30:00Z,9.2
20170605T02:45:00Z,8.3
20170605T03:00:00Z,9.1
20170605T03:15:00Z,7.8
20170605T03:30:00Z,6.8
20170605T03:45:00Z,7.4
20170605T04:00:00Z,5.2
20170605T04:15:00Z,5.7
20170605T04:30:00Z,6.2
20170605T04:45:00Z,5.9
20170605T05:00:00Z,6.6
20170605T05:15:00Z,3.8
20170605T05:30:00Z,4.5
20170605T05:45:00Z,4
20170605T06:00:00Z,5.2
20170605T06:15:00Z,5.4
20170605T06:30:00Z,5.6
20170605T06:45:00Z,5.7
20170605T07:00:00Z,5.7
20170605T07:15:00Z,5.2
20170605T07:30:00Z,6
20170605T07:45:00Z,4.7
20170605T08:00:00Z,7.1
20170605T08:15:00Z,10.1
20170605T08:30:00Z,10.9
20170605T08:45:00Z,13.9
20170605T09:00:00Z,10.4
20170605T09:15:00Z,10.8
20170605T09:30:00Z,8.7
20170605T09:45:00Z,8.1
20170605T10:00:00Z,7.6
20170605T10:15:00Z,9
20170605T10:30:00Z,6.8
20170605T10:45:00Z,5.9
20170605T11:00:00Z,4.5
20170605T11:15:00Z,5
20170605T11:30:00Z,5.6
20170605T11:45:00Z,3.6
20170605T12:00:00Z,6.4
20170605T12:15:00Z,4.9
20170605T12:30:00Z,4.1
20170605T12:45:00Z,6
20170605T13:00:00Z,6.4
20170605T13:15:00Z,5.5
20170605T13:30:00Z,6.5
20170605T13:45:00Z,6.4
20170605T14:00:00Z,5.9
20170605T14:15:00Z,6.9
20170605T14:30:00Z,7.4
20170605T14:45:00Z,8.4
20170605T15:00:00Z,6.8
20170605T15:15:00Z,7.7
20170605T15:30:00Z,8.4
20170605T15:45:00Z,8.3
20170605T16:00:00Z,6.8
20170605T16:15:00Z,7.6
20170605T16:30:00Z,6.3
20170605T16:45:00Z,4.5
20170605T17:00:00Z,4.2
20170605T17:15:00Z,4.4
20170605T17:30:00Z,5.1
20170605T17:45:00Z,3.2
20170605T18:00:00Z,4.9
20170605T18:15:00Z,3
20170605T18:30:00Z,4.5
20170605T18:45:00Z,3.5
20170605T19:00:00Z,3.9
20170605T19:15:00Z,4.7
20170605T19:30:00Z,4.5
20170605T19:45:00Z,3.5
20170605T20:00:00Z,6.2
20170605T20:15:00Z,4.6
20170605T20:30:00Z,4.1
20170605T20:45:00Z,5.6
20170605T21:00:00Z,5.6
20170605T21:15:00Z,6
20170605T21:30:00Z,6.4
20170605T21:45:00Z,5.9
20170605T22:00:00Z,6.5
20170605T22:15:00Z,6.4
20170605T22:30:00Z,6.8
20170605T22:45:00Z,5.6
20170605T23:00:00Z,5.8
20170605T23:15:00Z,5.3
20170605T23:30:00Z,5.1
20170605T23:45:00Z,4.7
20170606T00:00:00Z,4.6
20170606T00:15:00Z,4.1
20170606T00:30:00Z,4.4
20170606T00:45:00Z,2.8
20170606T01:00:00Z,4.4
20170606T01:15:00Z,4.5
20170606T01:30:00Z,5.1
20170606T01:45:00Z,5.6
20170606T02:00:00Z,4.6
20170606T02:15:00Z,5.4
20170606T02:30:00Z,5.7
20170606T02:45:00Z,5.2
20170606T03:00:00Z,5.6
20170606T03:15:00Z,5.2
20170606T03:30:00Z,4.7
20170606T03:45:00Z,6.6
20170606T04:00:00Z,5.1
20170606T04:15:00Z,5
20170606T04:30:00Z,6.4
20170606T04:45:00Z,5.6
20170606T05:00:00Z,6.6
20170606T05:15:00Z,4.1
20170606T05:30:00Z,5.3
20170606T05:45:00Z,4.3
20170606T06:00:00Z,4.2
20170606T06:15:00Z,4.9
20170606T06:30:00Z,4.2
20170606T06:45:00Z,5.4
20170606T07:00:00Z,4.7
20170606T07:15:00Z,4.4
20170606T07:30:00Z,6.2
20170606T07:45:00Z,5.3
20170606T08:00:00Z,4.3
20170606T08:15:00Z,5.9
20170606T08:30:00Z,7.1
20170606T08:45:00Z,6.5
20170606T09:00:00Z,7.7
20170606T09:15:00Z,6.9
20170606T09:30:00Z,6.9
20170606T09:45:00Z,7.1
20170606T10:00:00Z,6.5
20170606T10:15:00Z,5.6
20170606T10:30:00Z,4.8
20170606T10:45:00Z,6.8
20170606T11:00:00Z,5.4
20170606T11:15:00Z,2.4
20170606T11:30:00Z,3.9
20170606T11:45:00Z,4.1
20170606T12:00:00Z,3.8
20170606T12:15:00Z,2.9
20170606T12:30:00Z,4.5
20170606T12:45:00Z,4.7
20170606T13:00:00Z,5.1
20170606T13:15:00Z,2.5
20170606T13:30:00Z,2.3
20170606T13:45:00Z,4.9
20170606T14:00:00Z,3.7
20170606T14:15:00Z,4.2
20170606T14:30:00Z,3.5
20170606T14:45:00Z,5
20170606T15:00:00Z,4.9
20170606T15:15:00Z,5.3
20170606T15:30:00Z,4.9
20170606T15:45:00Z,4.6
20170606T16:00:00Z,3.1
20170606T16:15:00Z,5.2
20170606T16:30:00Z,4.3
20170606T16:45:00Z,4.5
20170606T17:00:00Z,3.7
20170606T17:15:00Z,3.5
20170606T17:30:00Z,3.3
20170606T17:45:00Z,5.2
20170606T18:00:00Z,2.9
20170606T18:15:00Z,3.4
20170606T18:30:00Z,3.2
20170606T18:45:00Z,2.8
20170606T19:00:00Z,3.1
20170606T19:15:00Z,3.8
20170606T19:30:00Z,1.5
20170606T19:45:00Z,2.6
20170606T20:00:00Z,3.9
20170606T20:15:00Z,3.3
20170606T20:30:00Z,4.1
20170606T20:45:00Z,3.8
20170606T21:00:00Z,3.3
20170606T21:15:00Z,3.7
20170606T21:30:00Z,2.9
20170606T21:45:00Z,3.9
20170606T22:00:00Z,4.6
20170606T22:15:00Z,5.2
20170606T22:30:00Z,4.5
20170606T22:45:00Z,3.9
20170606T23:00:00Z,4.4
20170606T23:15:00Z,4
20170606T23:30:00Z,3.1
20170606T23:45:00Z,5.1
20170607T00:00:00Z,4.5
20170607T00:15:00Z,3.4
20170607T00:30:00Z,3.2
20170607T00:45:00Z,2.8
