time,chlorophyll
20180319T02:45:00Z,4
20180319T03:00:00Z,3.7
20180319T03:15:00Z,3.5
20180319T03:30:00Z,4.1
20180319T03:45:00Z,4.3
20180319T04:00:00Z,4.1
20180319T04:15:00Z,3.8
20180319T04:30:00Z,4
20180319T04:45:00Z,3.8
20180319T05:00:00Z,3.7
20180319T05:15:00Z,3
20180319T05:30:00Z,3.5
20180319T05:45:00Z,2.9
20180319T06:00:00Z,3.4
20180319T06:15:00Z,3.7
20180319T06:30:00Z,4.1
20180319T06:45:00Z,4.3
20180319T07:00:00Z,4.2
20180319T07:15:00Z,4.3
20180319T07:30:00Z,4.6
20180319T07:45:00Z,5.2
20180319T08:00:00Z,4.6
20180319T08:15:00Z,5
20180319T08:30:00Z,5.4
20180319T08:45:00Z,5.9
20180319T09:00:00Z,4.7
20180319T09:15:00Z,4.6
20180319T09:30:00Z,4.1
20180319T09:45:00Z,4.3
20180319T10:00:00Z,4.8
20180319T10:15:00Z,5.4
20180319T10:30:00Z,5.1
20180319T10:45:00Z,5.7
20180319T11:00:00Z,5.1
20180319T11:15:00Z,5.6
20180319T11:30:00Z,5.2
20180319T11:45:00Z,4.9
20180319T12:00:00Z,5.1
20180319T12:15:00Z,5.9
20180319T12:30:00Z,5.7
20180319T12:45:00Z,5.4
20180319T15:00:00Z,5.8
20180319T15:15:00Z,5.4
20180319T15:30:00Z,5.8
20180319T15:45:00Z,5.9
20180319T16:00:00Z,6.2
20180319T16:15:00Z,6.6
20180319T16:30:00Z,5.7
20180319T16:45:00Z,5.7
20180319T17:00:00Z,6.2
20180319T17:15:00Z,6.3
20180319T17:30:00Z,5.2
20180319T17:45:00Z,5.5
20180319T18:00:00Z,5.4
20180319T18:15:00Z,4.3
20180319T18:30:00Z,5
20180319T18:45:00Z,3.6
20180319T19:00:00Z,4.1
20180319T19:15:00Z,4.4
20180319T19:30:00Z,4.7
20180319T19:45:00Z,5.1
20180319T20:00:00Z,4.4
20180319T20:15:00Z,4.3
20180319T20:30:00Z,5.1
20180319T20:45:00Z,5.1
20180319T21:00:00Z,4.2
20180319T21:15:00Z,4.6
20180319T21:30:00Z,3.7
20180319T21:45:00Z,3.5
20180319T22:00:00Z,5.5
20180319T22:15:00Z,4.7
20180319T22:30:00Z,5.5
20180319T22:45:00Z,5.2
20180319T23:00:00Z,5.3
20180319T23:15:00Z,6.1
20180319T23:30:00Z,6.5
20180319T23:45:00Z,6.2
20180320T00:00:00Z,6.9
20180320T00:15:00Z,6.6
20180320T00:30:00Z,6.5
20180320T00:45:00Z,6.7
20180320T01:00:00Z,6.6
20180320T01:15:00Z,6.4
20180320T01:30:00Z,6.6
20180320T01:45:00Z,6.5
20180320T02:00:00Z,5.8
20180320T02:15:00Z,8
20180320T02:30:00Z,7.3
20180320T02:45:00Z,6.7
20180320T03:00:00Z,7.4
20180320T03:15:00Z,6.8
20180320T03:30:00Z,7.6
20180320T03:45:00Z,6.2
20180320T04:00:00Z,7.4
20180320T04:15:00Z,7.2
20180320T04:30:00Z,7.4
20180320T04:45:00Z,7
20180320T05:00:00Z,7.4
20180320T05:15:00Z,6.8
20180320T05:30:00Z,7.9
20180320T05:45:00Z,7
20180320T06:00:00Z,7.3
20180320T06:15:00Z,6.9
20180320T06:30:00Z,5.5
20180320T06:45:00Z,5.9
20180320T07:00:00Z,7
20180320T07:15:00Z,6.9
20180320T07:30:00Z,6.8
20180320T07:45:00Z,7.1
20180320T08:00:00Z,7
20180320T08:15:00Z,7.2
20180320T08:30:00Z,7.6
20180320T08:45:00Z,7.9
20180320T09:00:00Z,8.1
20180320T09:15:00Z,7
20180320T09:30:00Z,6.8
20180320T09:45:00Z,7.7
20180320T10:00:00Z,6.1
20180320T10:15:00Z,7.5
20180320T10:30:00Z,7.1
20180320T10:45:00Z,6.7
20180320T11:00:00Z,7
20180320T11:15:00Z,7
20180320T11:30:00Z,8.3
20180320T11:45:00Z,7.5
20180320T12:00:00Z,8
20180320T12:15:00Z,6.8
20180320T12:30:00Z,7.7
20180320T12:45:00Z,7.5
20180320T14:00:00Z,8.4
20180320T14:15:00Z,7.9
20180320T14:30:00Z,8.1
20180320T14:45:00Z,6.7
20180320T15:00:00Z,6.8
20180320T15:15:00Z,6.7
20180320T15:30:00Z,6.7
20180320T15:45:00Z,7.1
20180320T16:00:00Z,6.4
20180320T16:15:00Z,6.4
20180320T16:30:00Z,6
20180320T16:45:00Z,5.8
20180320T17:00:00Z,6.7
20180320T17:15:00Z,6.1
20180320T17:30:00Z,6.1
20180320T17:45:00Z,6
20180320T18:00:00Z,5.8
20180320T18:15:00Z,6.1
20180320T18:30:00Z,6.1
20180320T18:45:00Z,5.1
20180320T19:00:00Z,5.1
20180320T19:15:00Z,5.5
20180320T19:30:00Z,5.2
20180320T19:45:00Z,4.9
20180320T20:00:00Z,5.5
20180320T20:15:00Z,5.4
20180320T20:30:00Z,5
20180320T20:45:00Z,6.8
20180320T21:00:00Z,6
20180320T21:15:00Z,5.9
20180320T21:30:00Z,5.3
20180320T21:45:00Z,5.5
20180320T22:00:00Z,6.3
20180320T22:15:00Z,6
20180320T22:30:00Z,6.5
20180320T22:45:00Z,6.8
20180320T23:00:00Z,7.3
20180320T23:15:00Z,8
20180320T23:30:00Z,8.2
20180320T23:45:00Z,7.2
20180321T00:00:00Z,7.4
20180321T00:15:00Z,8.2
20180321T00:30:00Z,7.4
20180321T00:45:00Z,7.9
20180321T01:00:00Z,9.4
20180321T01:15:00Z,8.7
20180321T01:30:00Z,9.2
20180321T01:45:00Z,9.2
20180321T02:00:00Z,9.1
20180321T02:15:00Z,9.4
20180321T02:30:00Z,10.7
20180321T02:45:00Z,9.6
20180321T03:00:00Z,9.8
20180321T03:15:00Z,10.2
20180321T03:30:00Z,10
20180321T03:45:00Z,10.2
20180321T04:00:00Z,8.6
20180321T04:15:00Z,9.5
20180321T04:30:00Z,6.6
20180321T04:45:00Z,7.3
20180321T05:00:00Z,7
20180321T05:15:00Z,6.6
20180321T05:30:00Z,6.8
20180321T05:45:00Z,6
20180321T06:00:00Z,6.7
20180321T06:15:00Z,6.6
20180321T06:30:00Z,7.1
20180321T06:45:00Z,6.5
20180321T07:00:00Z,6.1
20180321T07:15:00Z,7.9
20180321T07:30:00Z,7.7
20180321T07:45:00Z,7.9
20180321T08:00:00Z,7.2
20180321T08:15:00Z,7
20180321T08:30:00Z,6.7
20180321T08:45:00Z,7.3
20180321T09:00:00Z,6.3
20180321T09:15:00Z,7.2
20180321T09:30:00Z,7.2
20180321T09:45:00Z,6.6
20180321T10:00:00Z,5.7
20180321T10:15:00Z,6.8
20180321T10:30:00Z,6.8
20180321T10:45:00Z,6.2
20180321T11:00:00Z,7.4
20180321T11:15:00Z,7
20180321T11:30:00Z,7.7
20180321T11:45:00Z,7.4
20180321T12:00:00Z,8
20180321T12:15:00Z,7.8
20180321T12:30:00Z,8.8
20180321T12:45:00Z,8.2
20180321T13:00:00Z,7.3
20180321T13:15:00Z,8
20180321T13:30:00Z,7.8
20180321T13:45:00Z,7.7
20180321T14:00:00Z,8
20180321T14:15:00Z,7.3
20180321T14:30:00Z,7.7
20180321T14:45:00Z,7.3
20180321T15:00:00Z,7.7
20180321T15:15:00Z,7.7
20180321T15:30:00Z,7.2
20180321T15:45:00Z,7.3
20180321T16:00:00Z,7.4
20180321T16:15:00Z,7.4
20180321T16:30:00Z,7.3
20180321T16:45:00Z,7.3
20180321T17:00:00Z,7.3
20180321T17:15:00Z,7.7
20180321T17:30:00Z,7.6
20180321T17:45:00Z,8.4
20180321T18:00:00Z,8.6
20180321T18:15:00Z,7.9
20180321T18:30:00Z,7.6
20180321T18:45:00Z,6.7
20180321T19:00:00Z,6.7
20180321T19:15:00Z,6.6
20180321T19:30:00Z,6.5
20180321T19:45:00Z,7.2
20180321T20:00:00Z,7.1
20180321T20:15:00Z,7.5
20180321T20:30:00Z,7
20180321T20:45:00Z,6.3
20180321T21:00:00Z,6.9
20180321T21:15:00Z,7.5
20180321T21:30:00Z,7.1
20180321T21:45:00Z,8.2
20180321T22:00:00Z,7.5
20180321T22:15:00Z,6.8
20180321T22:30:00Z,6.8
20180321T22:45:00Z,6.3
20180321T23:00:00Z,6.7
20180321T23:15:00Z,6.1
20180321T23:30:00Z,6.9
20180321T23:45:00Z,7.3
20180322T01:15:00Z,7.8
20180322T01:30:00Z,6.6
20180322T01:45:00Z,7.6
20180322T02:00:00Z,7.3
20180322T02:15:00Z,7.6
20180322T02:30:00Z,7
20180322T02:45:00Z,7.1
20180322T03:00:00Z,7
20180322T03:15:00Z,6.3
20180322T03:30:00Z,6.9
20180322T03:45:00Z,7.1
20180322T04:00:00Z,7.3
20180322T04:15:00Z,6.7
20180322T04:30:00Z,6.6
20180322T04:45:00Z,6.8
20180322T05:00:00Z,7
20180322T05:15:00Z,6.2
20180322T05:30:00Z,6.5
20180322T05:45:00Z,6.4
20180322T06:00:00Z,6.7
20180322T06:15:00Z,6.1
20180322T06:30:00Z,6.8
20180322T06:45:00Z,7
20180322T07:00:00Z,6
20180322T07:15:00Z,6.9
20180322T07:30:00Z,6.6
20180322T07:45:00Z,6
20180322T08:00:00Z,4
20180322T08:15:00Z,4.3
20180322T08:30:00Z,4.7
20180322T08:45:00Z,4.5
20180322T09:00:00Z,5.7
20180322T09:15:00Z,4.5
20180322T09:30:00Z,5.5
20180322T09:45:00Z,5.3
20180322T10:00:00Z,6.1
20180322T10:15:00Z,5.5
20180322T10:30:00Z,6.2
20180322T10:45:00Z,6.3
20180322T12:15:00Z,6.5
20180322T12:30:00Z,8.6
20180322T12:45:00Z,9.4
20180322T13:00:00Z,9.5
20180322T13:15:00Z,9.5
20180322T13:30:00Z,8.7
20180322T13:45:00Z,8.4
20180322T14:00:00Z,8.5
20180322T14:15:00Z,7.5
20180322T14:30:00Z,8.2
20180322T14:45:00Z,9.1
20180322T15:00:00Z,8.5
20180322T15:15:00Z,8.2
20180322T15:30:00Z,7.5
20180322T15:45:00Z,8.1
20180322T16:00:00Z,8.4
20180322T16:15:00Z,6.9
20180322T16:30:00Z,7.4
20180322T16:45:00Z,9.2
20180322T17:00:00Z,9.5
20180322T17:15:00Z,9.4
20180322T17:30:00Z,8.7
20180322T17:45:00Z,7.6
20180322T18:00:00Z,8.3
20180322T18:15:00Z,7.4
20180322T18:30:00Z,8.5
20180322T18:45:00Z,8.8
20180322T19:00:00Z,7
20180322T19:15:00Z,8.4
20180322T19:30:00Z,7.5
20180322T19:45:00Z,6.3
20180322T20:00:00Z,7.2
20180322T20:15:00Z,6.8
20180322T20:30:00Z,6.8
20180322T20:45:00Z,6.7
20180322T21:00:00Z,6.4
20180322T21:15:00Z,5.9
20180322T21:30:00Z,6.7
20180322T21:45:00Z,5.8
20180322T22:00:00Z,7
20180322T22:15:00Z,5.8
20180322T22:30:00Z,6.3
20180322T22:45:00Z,6.4
20180322T23:00:00Z,7.4
20180322T23:15:00Z,7.1
20180322T23:30:00Z,7.3
20180322T23:45:00Z,7
20180323T00:00:00Z,7.3
20180323T00:15:00Z,7.1
20180323T00:30:00Z,8.7
20180323T00:45:00Z,9.3
20180323T01:00:00Z,8.7
20180323T01:15:00Z,9
20180323T01:30:00Z,9.6
20180323T01:45:00Z,8.4
20180323T02:00:00Z,11.1
20180323T02:15:00Z,11.9
20180323T02:30:00Z,11.5
20180323T02:45:00Z,11.1
20180323T03:00:00Z,10.7
20180323T03:15:00Z,9.5
20180323T03:30:00Z,11
20180323T03:45:00Z,11.2
20180323T04:00:00Z,10.8
20180323T04:15:00Z,11.1
20180323T04:30:00Z,12.4
20180323T04:45:00Z,11.5
20180323T05:00:00Z,11.4
20180323T05:15:00Z,12.9
20180323T05:30:00Z,10.7
20180323T05:45:00Z,11.6
20180323T06:00:00Z,10.3
20180323T06:15:00Z,11.8
20180323T06:30:00Z,10
20180323T06:45:00Z,12
20180323T07:00:00Z,11.6
20180323T07:15:00Z,11.7
20180323T07:30:00Z,11.4
20180323T07:45:00Z,10.7
20180323T08:00:00Z,10.7
20180323T08:15:00Z,8.9
20180323T08:30:00Z,11.9
20180323T08:45:00Z,12.4
20180323T09:00:00Z,12.9
20180323T09:15:00Z,13.7
20180323T09:30:00Z,14.3
20180323T09:45:00Z,16.1
20180323T10:00:00Z,16.7
20180323T10:15:00Z,15.2
20180323T10:30:00Z,15.4
20180323T10:45:00Z,16.5
20180323T11:00:00Z,18.3
20180323T11:15:00Z,15.3
20180323T11:30:00Z,17.1
20180323T11:45:00Z,17.5
20180323T12:00:00Z,15
20180323T12:15:00Z,17.5
20180323T12:30:00Z,18.2
20180323T12:45:00Z,15.1
20180323T13:00:00Z,12.9
20180323T13:15:00Z,14.6
20180323T13:30:00Z,13.7
20180323T13:45:00Z,16.6
20180323T14:00:00Z,17.2
20180323T14:15:00Z,15.1
20180323T14:30:00Z,15.2
20180323T14:45:00Z,14.1
20180323T15:00:00Z,11.9
20180323T15:15:00Z,15.5
20180323T15:30:00Z,15.4
20180323T15:45:00Z,16.6
20180323T16:00:00Z,17.6
20180323T16:15:00Z,16.4
20180323T16:30:00Z,17.4
20180323T16:45:00Z,16.9
20180323T17:00:00Z,18.8
20180323T17:15:00Z,18.5
20180323T17:30:00Z,18.3
20180323T17:45:00Z,17.8
20180323T18:00:00Z,18.7
20180323T18:15:00Z,20.1
20180323T18:30:00Z,20.1
20180323T18:45:00Z,18.9
20180323T19:00:00Z,20.6
20180323T19:15:00Z,18.3
20180323T19:30:00Z,18.4
20180323T19:45:00Z,16.9
20180323T20:00:00Z,19
20180323T20:15:00Z,15
20180323T20:30:00Z,17.3
20180323T20:45:00Z,15.2
20180323T21:00:00Z,17.3
20180323T21:15:00Z,14.7
20180323T21:30:00Z,14
20180323T21:45:00Z,12.4
20180323T22:00:00Z,14.5
20180323T22:15:00Z,12.9
20180323T22:30:00Z,12.7
20180323T22:45:00Z,13.1
20180323T23:00:00Z,12.8
20180323T23:15:00Z,11.9
20180323T23:30:00Z,11.7
20180323T23:45:00Z,10.7
20180324T00:00:00Z,10.6
20180324T00:15:00Z,12.7
20180324T00:30:00Z,14.9
20180324T00:45:00Z,12.1
20180324T01:00:00Z,14.2
20180324T01:15:00Z,11.2
20180324T01:30:00Z,11.9
20180324T01:45:00Z,10.6
20180324T02:00:00Z,9.8
20180324T02:15:00Z,16.2
20180324T02:30:00Z,15.2
20180324T02:45:00Z,19.1
20180324T03:00:00Z,17.4
20180324T03:15:00Z,14.4
20180324T03:30:00Z,16.8
20180324T03:45:00Z,17.1
20180324T04:00:00Z,13.5
20180324T04:15:00Z,14.7
20180324T04:30:00Z,16
20180324T04:45:00Z,16.4
20180324T09:00:00Z,14.4
20180324T09:15:00Z,16.9
20180324T09:30:00Z,17.3
20180324T09:45:00Z,18.2
20180324T10:00:00Z,13.8
20180324T10:15:00Z,16.9
20180324T10:30:00Z,18
20180324T10:45:00Z,18.8
20180324T11:00:00Z,19.6
20180324T11:15:00Z,17.6
20180324T11:30:00Z,19.4
20180324T11:45:00Z,16.7
20180324T12:00:00Z,19.4
20180324T12:15:00Z,17.8
20180324T12:30:00Z,19.2
20180324T12:45:00Z,17.4
20180324T13:00:00Z,19.6
20180324T13:15:00Z,15.4
20180324T13:30:00Z,15.2
20180324T13:45:00Z,16.6
20180324T14:00:00Z,16
20180324T14:15:00Z,12.9
20180324T14:30:00Z,14.4
20180324T14:45:00Z,16.6
20180324T15:00:00Z,17.3
20180324T15:15:00Z,15.9
20180324T15:30:00Z,15
20180324T15:45:00Z,14.6
20180324T16:00:00Z,16.2
20180324T16:15:00Z,16.8
20180324T16:30:00Z,18.5
20180324T16:45:00Z,19.6
20180324T17:00:00Z,17.4
20180324T17:15:00Z,17.5
20180324T17:30:00Z,18.9
20180324T17:45:00Z,17
20180324T18:00:00Z,14.9
20180324T18:15:00Z,16.5
20180324T18:30:00Z,16.9
20180324T18:45:00Z,14.8
20180324T19:00:00Z,14.4
20180324T19:15:00Z,16.4
20180324T19:30:00Z,16.6
20180324T19:45:00Z,14
20180324T20:00:00Z,15.3
20180324T20:15:00Z,15.7
20180324T20:30:00Z,13.1
20180324T20:45:00Z,16.8
20180324T21:00:00Z,16.7
20180324T21:15:00Z,15.1
20180324T21:30:00Z,15.5
20180324T21:45:00Z,15.1
20180324T22:00:00Z,13.6
20180324T22:15:00Z,12.9
20180324T22:30:00Z,15
20180324T22:45:00Z,14.1
20180324T23:00:00Z,14.3
20180324T23:15:00Z,14.1
20180324T23:30:00Z,14.4
20180324T23:45:00Z,12.7
20180325T00:00:00Z,12.9
20180325T00:15:00Z,12.4
20180325T00:30:00Z,9.7
20180325T00:45:00Z,11.2
20180325T03:00:00Z,11.5
20180325T03:15:00Z,11.6
20180325T03:30:00Z,9.4
20180325T03:45:00Z,10.6
20180325T04:00:00Z,11.2
20180325T04:15:00Z,15.2
20180325T04:30:00Z,11
20180325T04:45:00Z,10.2
20180325T06:15:00Z,9
20180325T06:30:00Z,9.7
20180325T06:45:00Z,9.1
20180325T07:00:00Z,9.3
20180325T07:15:00Z,8.3
20180325T07:30:00Z,8.3
20180325T07:45:00Z,8
20180325T08:00:00Z,7.5
20180325T08:15:00Z,6.9
20180325T08:30:00Z,7.3
20180325T08:45:00Z,6.6
20180325T09:00:00Z,8.9
20180325T09:15:00Z,7.5
20180325T09:30:00Z,8.4
20180325T09:45:00Z,7.9
20180325T10:00:00Z,5.8
20180325T10:15:00Z,7.3
20180325T10:30:00Z,7.2
20180325T10:45:00Z,6.7
20180325T13:00:00Z,6.2
20180325T13:15:00Z,6.3
20180325T13:30:00Z,9
20180325T13:45:00Z,10
20180325T14:00:00Z,10.4
20180325T14:15:00Z,9.9
20180325T14:30:00Z,7.5
20180325T14:45:00Z,10.2
20180325T15:00:00Z,7.3
20180325T15:15:00Z,8.6
20180325T15:30:00Z,8.2
20180325T15:45:00Z,8.8
20180325T16:00:00Z,9
20180325T16:15:00Z,8.1
20180325T16:30:00Z,10.1
20180325T16:45:00Z,10.1
20180325T17:00:00Z,11.5
20180325T17:15:00Z,10.6
20180325T17:30:00Z,10
20180325T17:45:00Z,10.7
20180325T18:00:00Z,10.5
20180325T18:15:00Z,9.7
20180325T18:30:00Z,9.4
20180325T18:45:00Z,9.7
20180325T19:00:00Z,9.8
20180325T19:15:00Z,9.1
20180325T19:30:00Z,9.3
20180325T19:45:00Z,8.5
20180325T20:00:00Z,10.2
20180325T20:15:00Z,9.8
20180325T20:30:00Z,9.8
20180325T20:45:00Z,9.8
20180325T21:00:00Z,9.5
20180325T21:15:00Z,9.9
20180325T21:30:00Z,9.7
20180325T21:45:00Z,8.8
20180325T22:00:00Z,9.4
20180325T22:15:00Z,8.7
20180325T22:30:00Z,7.4
20180325T22:45:00Z,8.7
20180325T23:00:00Z,8.3
20180325T23:15:00Z,7.6
20180325T23:30:00Z,7.4
20180325T23:45:00Z,7.2
20180326T00:00:00Z,8.4
20180326T00:15:00Z,7.5
20180326T00:30:00Z,7.3
20180326T00:45:00Z,8.3
20180326T01:00:00Z,7.9
20180326T01:15:00Z,7.8
20180326T01:30:00Z,7.2
20180326T01:45:00Z,6.8
20180326T02:00:00Z,6.8
20180326T02:15:00Z,6.2
20180326T02:30:00Z,6
20180326T02:45:00Z,6.9
20180326T03:00:00Z,6.4
20180326T03:15:00Z,7
20180326T03:30:00Z,7.7
20180326T03:45:00Z,6.3
20180326T04:00:00Z,6
20180326T04:15:00Z,7.2
20180326T04:30:00Z,5.7
20180326T04:45:00Z,6.5
20180326T05:00:00Z,6.9
20180326T05:15:00Z,7
20180326T05:30:00Z,6.3
20180326T05:45:00Z,8.3
20180326T06:00:00Z,6.5
20180326T06:15:00Z,6.6
20180326T06:30:00Z,6.8
20180326T06:45:00Z,6.8
20180326T07:00:00Z,6.8
20180326T07:15:00Z,7
20180326T07:30:00Z,6.8
20180326T07:45:00Z,6.9
20180326T09:00:00Z,6.9
20180326T09:15:00Z,6.9
20180326T09:30:00Z,6.4
20180326T09:45:00Z,7.1
20180326T10:00:00Z,7
20180326T10:15:00Z,7
20180326T10:30:00Z,6.4
20180326T10:45:00Z,6.6
20180326T11:00:00Z,6.7
20180326T11:15:00Z,6.7
20180326T11:30:00Z,6.5
20180326T11:45:00Z,6.6
20180326T12:00:00Z,6.2
20180326T12:15:00Z,7.9
20180326T12:30:00Z,7.1
20180326T12:45:00Z,7
20180326T13:00:00Z,6.9
20180326T13:15:00Z,6.1
20180326T13:30:00Z,8.5
20180326T13:45:00Z,7.6
20180326T14:00:00Z,8.7
20180326T14:15:00Z,9.2
20180326T14:30:00Z,8.2
20180326T14:45:00Z,10.2
20180326T15:00:00Z,9.4
20180326T15:15:00Z,7.8
20180326T15:30:00Z,9.6
20180326T15:45:00Z,9.3
20180326T16:00:00Z,7.8
20180326T16:15:00Z,8.5
20180326T16:30:00Z,8.7
20180326T16:45:00Z,10.3
20180326T17:00:00Z,8.9
20180326T17:15:00Z,8.6
20180326T17:30:00Z,9.1
20180326T17:45:00Z,10
20180326T18:00:00Z,9.7
20180326T18:15:00Z,9.5
20180326T18:30:00Z,9.5
20180326T18:45:00Z,9.4
20180326T19:00:00Z,10.2
20180326T19:15:00Z,9.4
20180326T19:30:00Z,11
20180326T19:45:00Z,8.3
20180326T20:00:00Z,10.5
20180326T20:15:00Z,10.9
20180326T20:30:00Z,9.9
20180326T20:45:00Z,10
20180326T21:00:00Z,9.2
20180326T21:15:00Z,8.7
20180326T21:30:00Z,9.1
20180326T21:45:00Z,7.8
20180326T22:00:00Z,7.6
20180326T22:15:00Z,8.6
20180326T22:30:00Z,8.2
20180326T22:45:00Z,7.7
20180326T23:00:00Z,8.1
20180326T23:15:00Z,7.7
20180326T23:30:00Z,8.2
20180326T23:45:00Z,7.7
20180327T00:00:00Z,8.2
20180327T00:15:00Z,7.9
20180327T00:30:00Z,7.8
20180327T00:45:00Z,7.3
20180327T01:00:00Z,8.1
20180327T01:15:00Z,6.8
20180327T01:30:00Z,7.5
20180327T01:45:00Z,6.9
20180327T02:00:00Z,7.6
20180327T02:15:00Z,7.2
20180327T02:30:00Z,7.5
20180327T02:45:00Z,7.5
20180327T03:00:00Z,7.7
20180327T03:15:00Z,8.5
20180327T03:30:00Z,7.1
20180327T03:45:00Z,6.2
20180327T04:00:00Z,5.6
20180327T04:15:00Z,6.3
20180327T04:30:00Z,7
20180327T04:45:00Z,6.5
20180327T05:00:00Z,6.8
20180327T05:15:00Z,6.2
20180327T05:30:00Z,6.6
20180327T05:45:00Z,8.1
20180327T06:00:00Z,7.1
20180327T06:15:00Z,6.9
20180327T06:30:00Z,6.5
20180327T06:45:00Z,7.4
20180327T07:00:00Z,7.1
20180327T07:15:00Z,7.1
20180327T07:30:00Z,7.1
20180327T07:45:00Z,7.3
20180327T08:00:00Z,6.7
20180327T08:15:00Z,6.4
20180327T08:30:00Z,6.9
20180327T08:45:00Z,6.7
20180327T09:00:00Z,5.6
20180327T09:15:00Z,5.9
20180327T09:30:00Z,6
20180327T09:45:00Z,6.4
20180327T10:00:00Z,6.1
20180327T10:15:00Z,6.1
20180327T10:30:00Z,6.2
20180327T10:45:00Z,6.8
20180327T11:00:00Z,5.9
20180327T11:15:00Z,6.9
20180327T11:30:00Z,6.4
20180327T11:45:00Z,7.1
20180327T12:00:00Z,5.9
20180327T12:15:00Z,5.7
20180327T12:30:00Z,5.4
20180327T12:45:00Z,6.6
20180327T13:00:00Z,5.6
20180327T13:15:00Z,6.2
20180327T13:30:00Z,6.7
20180327T13:45:00Z,6.6
20180327T14:00:00Z,7.2
20180327T14:15:00Z,7.9
20180327T14:30:00Z,7
20180327T14:45:00Z,8.7
20180327T15:00:00Z,9.5
20180327T15:15:00Z,9.2
20180327T15:30:00Z,9.1
20180327T15:45:00Z,9.8
20180327T16:00:00Z,10
20180327T16:15:00Z,10.2
20180327T16:30:00Z,7.2
20180327T16:45:00Z,10.1
20180327T17:00:00Z,12.3
20180327T17:15:00Z,12.9
20180327T17:30:00Z,14.3
20180327T17:45:00Z,12.6
20180327T18:00:00Z,13.1
20180327T18:15:00Z,12.4
20180327T18:30:00Z,15.1
20180327T18:45:00Z,16.3
20180327T19:00:00Z,15.2
20180327T19:15:00Z,10.8
20180327T19:30:00Z,13.4
20180327T19:45:00Z,15
20180327T20:00:00Z,13.3
20180327T20:15:00Z,13.9
20180327T20:30:00Z,14.5
20180327T20:45:00Z,14
20180327T21:00:00Z,13.8
20180327T21:15:00Z,12.5
20180327T21:30:00Z,13.8
20180327T21:45:00Z,12.2
20180327T22:00:00Z,13.7
20180327T22:15:00Z,13.3
20180327T22:30:00Z,13.3
20180327T22:45:00Z,13.5
20180327T23:00:00Z,13.2
20180327T23:15:00Z,13.2
20180327T23:30:00Z,11.8
20180327T23:45:00Z,12
20180328T00:00:00Z,11.1
20180328T00:15:00Z,12.6
20180328T00:30:00Z,10.8
20180328T00:45:00Z,11.4
20180328T01:00:00Z,11.2
20180328T01:15:00Z,10.6
20180328T01:30:00Z,10.1
20180328T01:45:00Z,11
20180328T02:00:00Z,10
20180328T02:15:00Z,8.5
20180328T02:30:00Z,10
20180328T02:45:00Z,9.4
20180328T03:00:00Z,9.8
20180328T03:15:00Z,9.4
20180328T03:30:00Z,9.5
20180328T03:45:00Z,8.3
20180328T04:00:00Z,8.2
20180328T04:15:00Z,9.2
20180328T04:30:00Z,10.1
20180328T04:45:00Z,10.6
20180328T05:00:00Z,11.6
20180328T05:15:00Z,11.8
20180328T05:30:00Z,13.3
20180328T05:45:00Z,13.1
20180328T06:00:00Z,12.8
20180328T06:15:00Z,13.4
20180328T06:30:00Z,13
20180328T06:45:00Z,14.3
20180328T07:00:00Z,11
20180328T07:15:00Z,16.7
20180328T07:30:00Z,14.5
20180328T07:45:00Z,11
20180328T08:00:00Z,12.1
20180328T08:15:00Z,12
20180328T08:30:00Z,10.8
20180328T08:45:00Z,13.4
20180328T09:00:00Z,11.6
20180328T09:15:00Z,15.5
20180328T09:30:00Z,13.3
20180328T09:45:00Z,14.2
20180328T10:00:00Z,12.3
20180328T10:15:00Z,11.9
20180328T10:30:00Z,13.2
20180328T10:45:00Z,12.4
20180328T11:00:00Z,11.8
20180328T11:15:00Z,10.8
20180328T11:30:00Z,11.2
20180328T11:45:00Z,11
20180328T12:00:00Z,8.4
20180328T12:15:00Z,10.7
20180328T12:30:00Z,10.6
20180328T12:45:00Z,8.1
20180328T13:00:00Z,7.8
20180328T13:15:00Z,8.3
20180328T13:30:00Z,8.6
20180328T13:45:00Z,8.8
20180328T14:00:00Z,7.8
20180328T14:15:00Z,7.6
20180328T14:30:00Z,8.3
20180328T14:45:00Z,7.4
20180328T15:00:00Z,8
20180328T15:15:00Z,9.7
20180328T15:30:00Z,8.6
20180328T15:45:00Z,9.1
20180328T16:00:00Z,8.4
20180328T16:15:00Z,8.9
20180328T16:30:00Z,8.6
20180328T16:45:00Z,8.9
20180328T17:00:00Z,8
20180328T17:15:00Z,9.6
20180328T17:30:00Z,8.8
20180328T17:45:00Z,8.4
20180328T18:00:00Z,7.9
20180328T18:15:00Z,8.7
20180328T18:30:00Z,8
20180328T18:45:00Z,9
20180328T19:00:00Z,6.7
20180328T19:15:00Z,7.5
20180328T19:30:00Z,6.1
20180328T19:45:00Z,5.6
20180328T20:00:00Z,5.7
20180328T20:15:00Z,5.8
20180328T20:30:00Z,6.2
20180328T20:45:00Z,6.4
20180328T21:00:00Z,7
20180328T21:15:00Z,6.5
20180328T21:30:00Z,7.1
20180328T21:45:00Z,7.1
20180328T22:00:00Z,7.6
20180328T22:15:00Z,7.1
20180328T22:30:00Z,8.3
20180328T22:45:00Z,7.8
20180328T23:00:00Z,8.1
20180328T23:15:00Z,8.3
20180328T23:30:00Z,8
20180328T23:45:00Z,7.5
