date,pH,salinity,temp
4/3/17,7.79082673,27.757446,9.002163333
4/3/17,7.760622222,27.757446,9.231733333
4/3/17,7.754327827,27.757446,9.198433333
4/3/17,7.813666915,27.757446,9.165293333
4/3/17,7.845691352,27.757446,9.152896667
4/3/17,7.825981707,27.757446,9.129803333
4/3/17,7.872016384,27.757446,9.311523333
4/3/17,7.877539876,27.757446,9.475586667
4/3/17,7.848680279,27.757446,9.59259
4/3/17,7.867075107,27.757446,9.749876667
4/3/17,7.864135256,27.757446,9.865096667
4/3/17,7.842154355,27.757446,10.05347
4/3/17,7.857945971,27.757446,10.23540333
4/3/17,7.843375065,27.757446,10.35456667
4/3/17,7.862781208,27.757446,10.38106333
4/3/17,7.869137456,27.757446,10.37003
4/3/17,7.873349631,27.757446,10.39028333
4/3/17,7.873623652,27.757446,10.42301667
4/3/17,7.839105589,27.757446,10.44251
4/3/17,7.863060796,27.757446,10.46672667
4/3/17,7.880270865,27.757446,10.48450333
4/3/17,7.882971762,27.757446,10.45176
4/3/17,7.859421697,27.757446,10.40645333
4/3/17,7.882556942,27.757446,10.38353
4/3/17,7.87911017,27.757446,10.44583667
4/3/17,7.877218954,27.757446,10.51363333
4/3/17,7.88642816,27.757446,10.60349
4/3/17,7.889257072,27.757446,10.57286667
4/3/17,7.886631742,27.757446,10.49988
4/3/17,7.897861432,27.757446,10.40107
4/3/17,7.902649783,27.757446,10.39672
4/3/17,7.901964655,27.757446,10.42616
4/3/17,7.900872899,27.757446,10.46229333
4/3/17,7.903668267,27.757446,10.46589667
4/3/17,7.904484595,27.757446,10.46694333
4/3/17,7.904742921,27.757446,10.48158
4/3/17,7.906578421,27.757446,10.49943333
4/3/17,7.908306376,27.757446,10.49427667
4/3/17,7.881226853,27.757446,10.51802
4/3/17,7.913881422,27.757446,10.51478333
4/3/17,7.894350026,27.757446,10.50583
4/3/17,7.904156663,27.757446,10.53486
4/3/17,7.919554827,27.757446,10.39507333
4/3/17,7.915302919,27.757446,10.27451667
4/3/17,7.923172192,27.757446,10.13488
4/3/17,7.924680303,27.757446,10.23152667
4/3/17,7.923741648,27.757446,10.18789667
4/3/17,7.921116232,27.757446,10.14766333
4/3/17,7.923456335,27.757446,10.10841667
4/3/17,7.915515253,27.460552,10.04937
4/3/17,7.907247811,27.460552,9.932423333
4/4/17,7.90843378,27.460552,9.909926667
4/4/17,7.901342897,27.460552,9.87529
4/4/17,7.89946835,27.460552,9.879336667
4/4/17,7.89787346,27.460552,9.804636667
4/4/17,7.898701576,27.460552,9.698343333
4/4/17,7.894457181,27.460552,9.60193
4/4/17,7.891939769,27.460552,9.533866667
4/4/17,7.891775632,27.460552,9.58399
4/4/17,7.898583542,27.460552,9.547306667
4/4/17,7.894696927,27.460552,9.540533333
4/4/17,7.909566197,27.460552,9.631376667
4/4/17,7.9082298,27.460552,9.610263333
4/4/17,7.908111495,27.460552,9.55052
4/4/17,7.912863404,27.460552,9.57205
4/4/17,7.91353385,27.460552,9.601606667
4/4/17,7.91786947,27.460552,9.56291
4/4/17,7.916416164,27.460552,9.540756667
4/4/17,7.914207177,27.460552,9.521433333
4/4/17,7.916270998,27.460552,9.525446667
4/4/17,7.91807922,27.460552,9.51739
4/4/17,7.919436188,27.460552,9.499876667
4/4/17,7.915051222,27.460552,9.50842
4/4/17,7.915114699,27.460552,9.50371
4/4/17,7.890424058,27.460552,9.494826667
4/4/17,7.912795034,27.460552,9.46864
4/4/17,7.896210342,27.460552,9.431903333
4/4/17,7.891057003,27.460552,9.42626
4/4/17,7.877508628,27.460552,9.441046667
4/4/17,7.882779664,27.460552,9.46353
4/4/17,7.880662242,27.460552,9.46241
4/4/17,7.90030094,27.460552,9.44055
4/4/17,7.903705433,27.460552,9.422263333
4/4/17,7.920926512,27.460552,9.598363333
4/4/17,7.903593585,27.460552,9.66512
4/4/17,7.900617951,27.460552,9.727746667
4/4/17,7.913448403,27.460552,9.76384
4/4/17,7.899321352,27.460552,9.770173333
4/4/17,7.928083627,27.460552,9.78928
4/4/17,7.922708747,27.460552,9.79282
4/4/17,7.940705,27.460552,9.751913333
4/4/17,7.942910242,27.460552,9.699176667
4/4/17,7.943440066,27.460552,9.85871
4/4/17,7.944303049,27.460552,9.895
4/4/17,7.939488718,27.460552,10.00548333
4/4/17,7.940093245,27.460552,10.10068667
4/4/17,7.936372979,27.460552,10.09251667
4/4/17,7.936898303,27.460552,10.05322333
4/4/17,7.923693144,27.460552,10.18503333
4/4/17,7.919677135,27.460552,10.30168333
4/4/17,7.920049481,27.460552,10.30678667
4/4/17,7.923530034,27.460552,10.10955
4/4/17,7.924383597,27.460552,10.12733
4/4/17,7.922957316,27.460552,10.12457667
4/4/17,7.920409488,27.460552,10.19059
4/4/17,7.916200658,27.460552,10.37725
4/4/17,7.915347076,27.460552,10.57274
4/4/17,7.915105101,27.460552,10.58716
4/4/17,7.917595681,27.460552,10.52717333
4/4/17,7.917797517,27.460552,10.47882333
4/4/17,7.918823801,27.460552,10.48138
4/4/17,7.90166789,27.460552,10.58372333
4/4/17,7.898198789,27.460552,10.66082
4/4/17,7.877372803,27.460552,10.65871
4/4/17,7.912196509,27.460552,10.59284667
4/4/17,7.905649171,27.460552,10.53849333
4/4/17,7.907727381,27.460552,10.49113667
4/4/17,7.883828717,27.460552,10.47965
4/4/17,7.897864631,27.460552,10.45927
4/4/17,7.926943625,27.460552,10.34536667
4/4/17,7.931600698,27.460552,10.29260333
4/4/17,7.93353249,27.460552,10.26169333
